Contig name	Size (bp)	Coverage	GC %	Taxonomy winner	Winner %	Species winner	Species winner %	Genus winner	Genus winner %	Order winner	Order winner %	Class winner	Class winner %	Phylum winner	Phylum winner %	Domain winner	Domain winner %
N1_003_000G1_scaffold_8010	2956	5784.24	38.94	Veillonella	1.0	Veillonella sp. 6_1_27	0.33	Veillonella	1.0	Selenomonadales	1.0	Negativicutes	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8011	1567	11.01	47.03	Clostridium tetani	0.5	Clostridium tetani	0.5	Clostridium	0.5	Clostridiales	0.5	Clostridia	0.5	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8012	1566	7.57	49.81			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8013	1566	9.67	59.32	Lelliottia amnigena	0.5	Lelliottia amnigena	0.5	Lelliottia	0.5	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8014	1566	9.2	55.81	Clostridium hathewayi CAG:224	1.0	Clostridium hathewayi CAG:224	1.0	Clostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8015	1566	9.0	35.63			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8016	1566	11.49	38.44			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8017	1566	7.28	27.97	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8018	1565	21.47	42.88			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8019	1565	8.43	33.1	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8020	1565	7.19	64.54	Corynebacterium tuberculostearicum	1.0	Corynebacterium tuberculostearicum	1.0	Corynebacterium	1.0	Corynebacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8021	1564	409.72	34.27	Staphylococcus epidermidis	1.0	Staphylococcus epidermidis	1.0	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8022	1564	6.43	34.97	[Clostridium] bifermentans	0.5	[Clostridium] bifermentans	0.5	Peptoclostridium	0.5	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8023	1564	12.76	52.94	Enterobacter sp. 35683	0.5	Enterobacter sp. 35683	0.5	Enterobacter	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8024	1564	9.78	28.96	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8025	1564	1356.81	34.53	Staphylococcus epidermidis	1.0	Staphylococcus epidermidis	1.0	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8026	1564	5057.23	38.3	Veillonella parvula	0.67	Veillonella parvula	0.67	Veillonella	1.0	Selenomonadales	1.0	Negativicutes	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8027	1564	17.46	48.21			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8028	1564	9.4	31.65	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8029	1563	41.55	32.25	Macaca mulatta	1.0	Macaca mulatta	1.0	Macaca	1.0	Primates	1.0	Mammalia	1.0	Chordata	1.0	Metazoa	1.0
N1_003_000G1_scaffold_8030	1563	9.4	44.21	Enterococcus faecalis	0.5	Enterococcus faecalis	0.5	Enterococcus	1.0	Lactobacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8031	1563	9.6	58.29	Enterobacter	0.67	Lelliottia amnigena	0.33	Enterobacter	0.67	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8032	1563	1552.4	39.54	Arion vulgaris	1.0	Arion vulgaris	1.0	Arion	1.0	unknown	1.0	Gastropoda	1.0	Mollusca	1.0	Metazoa	1.0
N1_003_000G1_scaffold_8033	1563	10.08	59.25	CG_Propioni_01	1.0	CG_Propioni_01	1.0	Propionibacterium	1.0	Propionibacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8034	1563	225.82	31.93	Staphylococcus epidermidis	0.5	Staphylococcus epidermidis	0.5	Staphylococcus	0.5	Bacillales	0.5	Bacilli	0.5	Firmicutes	0.5	Bacteria	0.5
N1_003_000G1_scaffold_8035	1562	9.41	51.47	Clostridium hathewayi CAG:224	1.0	Clostridium hathewayi CAG:224	1.0	Clostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8036	1562	6.24	26.12	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8037	1562	10.76	40.65			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8038	1562	7.01	52.37	Clostridium hathewayi CAG:224	0.67	Clostridium hathewayi CAG:224	0.67	Clostridium	0.67	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8039	1562	7.11	41.1	Streptococcus	0.67	Streptococcus sp. I-G2	0.33	Streptococcus	0.67	Lactobacillales	0.67	Bacilli	0.67	Firmicutes	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8040	1562	9.22	46.61	Atopobium minutum	1.0	Atopobium minutum	1.0	Atopobium	1.0	Coriobacteriales	1.0	Coriobacteriia	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8041	1561	7.11	34.59	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8042	1561	9.71	58.42	Enterobacter cloacae	0.5	Enterobacter cloacae	0.5	Enterobacter	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8043	1560	12.12	36.73	Chlorocebus sabaeus	1.0	Chlorocebus sabaeus	1.0	Chlorocebus	1.0	Primates	1.0	Mammalia	1.0	Chordata	1.0	Metazoa	1.0
N1_003_000G1_scaffold_8044	1560	12.79	33.59	Peptoclostridium difficile	0.67	Peptoclostridium difficile	0.67	Peptoclostridium	0.67	Clostridiales	0.67	Clostridia	0.67	Firmicutes	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8045	1560	10.38	32.5														
N1_003_000G1_scaffold_8046	1560	10.87	50.71	Lelliottia amnigena	1.0	Lelliottia amnigena	1.0	Lelliottia	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8047	1559	10.1	48.75			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8048	1559	9.33	57.02	Lelliottia amnigena	1.0	Lelliottia amnigena	1.0	Lelliottia	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8049	1559	335.98	23.6	Staphylococcus epidermidis	0.67	Staphylococcus epidermidis	0.67	Staphylococcus	0.67	Bacillales	0.67	Bacilli	0.67	Firmicutes	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8050	1559	9.24	54.65	Enterobacter sp. 35730	0.5	Enterobacter sp. 35730	0.5	Enterobacter	0.5	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8051	1559	10.97	27.0	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8052	1558	31.58	40.82	Equus caballus	0.5	Equus caballus	0.5	Equus	0.5	Perissodactyla	0.5	Mammalia	0.5	Chordata	0.5	Metazoa	0.5
N1_003_000G1_scaffold_8053	1558	13.48	62.58	Corynebacterium	0.67	Corynebacterium tuberculostearicum	0.33	Corynebacterium	0.67	Corynebacteriales	0.67	Actinobacteria	0.67	Actinobacteria	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8054	1558	11.36	65.08	Lelliottia amnigena	0.5	Lelliottia amnigena	0.5	Lelliottia	0.5	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8055	1558	16.08	55.91	Corynebacterium tuberculostearicum	0.67	Corynebacterium tuberculostearicum	0.67	Corynebacterium	0.67	Corynebacteriales	0.67	Actinobacteria	0.67	Actinobacteria	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8056	1558	12.52	51.22	Atopobium minutum	1.0	Atopobium minutum	1.0	Atopobium	1.0	Coriobacteriales	1.0	Coriobacteriia	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8057	1558	12.23	50.45	Enterobacter sp. 35683	0.5	Enterobacter sp. 35683	0.5	Enterobacter	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8058	1558	12.42	34.72	Veillonella	0.67	Veillonella sp. 3_1_44	0.33	Veillonella	0.67	Selenomonadales	0.67	Negativicutes	0.67	Firmicutes	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8059	1557	12.52	51.45	Enterobacteriales	0.67	Enterobacter hormaechei	0.33	Enterobacter	0.33	Enterobacteriales	0.67	Gammaproteobacteria	0.67	Proteobacteria	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8060	1557	5.97	32.69			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8061	1557	7.61	28.07	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8062	1557	12.24	59.47	CG_Propioni_01	0.5	CG_Propioni_01	0.5	Propionibacterium	1.0	Propionibacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8063	1557	26.88	36.35	human gut metagenome	0.5	human gut metagenome	0.5	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8064	1557	8.38	23.89	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8065	1556	227.8	46.98			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8066	1556	15.33	57.52	Corynebacterium sp. KPL1821	1.0	Corynebacterium sp. KPL1821	1.0	Corynebacterium	1.0	Corynebacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8067	1556	11.09	54.43	Lelliottia amnigena	0.5	Lelliottia amnigena	0.5	Lelliottia	0.5	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8068	1556	236.95	32.65	Clostridium baratii	0.5	Clostridium baratii	0.5	Clostridium	0.5	Clostridiales	0.5	Clostridia	0.5	Firmicutes	0.5	Bacteria	0.5
N1_003_000G1_scaffold_8069	1555	31.25	39.68			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8070	1555	23.83	44.69			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8071	1555	94.82	52.35	Primates	0.67	Macaca mulatta	0.33	Macaca	0.33	Primates	0.67	Mammalia	0.67	Chordata	0.67	Metazoa	0.67
N1_003_000G1_scaffold_8072	1555	10.32	62.64	Propionibacterium acnes	1.0	Propionibacterium acnes	1.0	Propionibacterium	1.0	Propionibacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8073	1554	14.09	47.3	Hungatella hathewayi	0.67	Hungatella hathewayi	0.67	Hungatella	0.67	Clostridiales	0.67	Clostridia	0.67	Firmicutes	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8074	2311	1442.23	31.67	Staphylococcus epidermidis	1.0	Staphylococcus epidermidis	1.0	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8075	1553	8.5	58.85	Varibaculum cambriense	1.0	Varibaculum cambriense	1.0	Varibaculum	1.0	Actinomycetales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8076	1553	1005.28	28.2	Staphylococcus epidermidis	1.0	Staphylococcus epidermidis	1.0	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8077	1553	9.37	41.85			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8078	1552	10.63	61.4	Propionibacterium acnes	0.67	Propionibacterium acnes	0.67	Propionibacterium	0.67	Propionibacteriales	0.67	Actinobacteria	0.67	Actinobacteria	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8079	1552	1010.76	30.61	Staphylococcus epidermidis	1.0	Staphylococcus epidermidis	1.0	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8080	1552	11.02	34.99			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8081	1552	8.12	30.86	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8082	1552	6181.89	28.8	Staphylococcus saprophyticus	1.0	Staphylococcus saprophyticus	1.0	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8083	1552	11.21	35.76														
N1_003_000G1_scaffold_8084	1551	17.79	30.43			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8085	1551	7.06	39.59	Streptococcus sp. I-P16	1.0	Streptococcus sp. I-P16	1.0	Streptococcus	1.0	Lactobacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8086	1551	9.57	54.8	Varibaculum cambriense	1.0	Varibaculum cambriense	1.0	Varibaculum	1.0	Actinomycetales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8087	1551	11.03	50.29	Hungatella hathewayi	1.0	Hungatella hathewayi	1.0	Hungatella	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8088	1551	10.25	63.51	Enterobacter	0.67	Enterobacter sp. 35683	0.33	Enterobacter	0.67	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8089	1551	9.09	59.77	Lelliottia amnigena	0.67	Lelliottia amnigena	0.67	Lelliottia	0.67	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8090	1551	8.61	58.99	Propionibacterium acnes	1.0	Propionibacterium acnes	1.0	Propionibacterium	1.0	Propionibacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8091	1551	7.93	30.05	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8092	1550	10.84	29.61	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8093	1550	11.03	49.03	Clostridiales	0.67	Hungatella hathewayi	0.33	Hungatella	0.33	Clostridiales	0.67	Clostridia	0.67	Firmicutes	0.67	Bacteria	1.0
N1_003_000G1_scaffold_8094	1550	8.81	61.81	Propionibacterium acnes	1.0	Propionibacterium acnes	1.0	Propionibacterium	1.0	Propionibacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8095	1550	1514.81	35.87	Staphylococcus epidermidis	1.0	Staphylococcus epidermidis	1.0	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8096	1550	10.45	33.81	Enterococcus faecium	1.0	Enterococcus faecium	1.0	Enterococcus	1.0	Lactobacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8097	1550	11.23	36.26	Macaca mulatta	1.0	Macaca mulatta	1.0	Macaca	1.0	Primates	1.0	Mammalia	1.0	Chordata	1.0	Metazoa	1.0
N1_003_000G1_scaffold_8098	1550	14.42	41.1	Enterococcus faecium	1.0	Enterococcus faecium	1.0	Enterococcus	1.0	Lactobacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8099	1549	12.49	38.73	Eubacterium rectale	1.0	Eubacterium rectale	1.0	Eubacterium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8100	1549	220.4	30.34	Staphylococcus	1.0	Staphylococcus epidermidis	0.25	Staphylococcus	1.0	Bacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8101	1549	14.62	60.1	Propionibacterium acnes	1.0	Propionibacterium acnes	1.0	Propionibacterium	1.0	Propionibacteriales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8102	1549	1936.35	36.86	Staphylococcus epidermidis	0.67	Staphylococcus epidermidis	0.67	Staphylococcus	0.67	Bacillales	0.67	Bacilli	0.67	Firmicutes	0.67	Bacteria	0.67
N1_003_000G1_scaffold_8103	1549	5.81	34.22			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8104	1549	7.94	51.19	Varibaculum cambriense	1.0	Varibaculum cambriense	1.0	Varibaculum	1.0	Actinomycetales	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8105	1549	10.07	46.93	Hungatella hathewayi	1.0	Hungatella hathewayi	1.0	Hungatella	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8106	1548	58.82	40.96	Macaca mulatta	0.5	Macaca mulatta	0.5	Macaca	1.0	Primates	1.0	Mammalia	1.0	Chordata	1.0	Metazoa	1.0
N1_003_000G1_scaffold_8107	1548	9.3	48.26	Clostridium hathewayi CAG:224	1.0	Clostridium hathewayi CAG:224	1.0	Clostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8108	1548	9.69	49.94	Hungatella hathewayi	1.0	Hungatella hathewayi	1.0	Hungatella	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8109	1548	6.69	34.63	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8110	1548	9.59	50.97	Lelliottia amnigena	1.0	Lelliottia amnigena	1.0	Lelliottia	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8111	1548	40.99	44.44			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8112	2422	6922.54	43.06	Veillonella sp. 6_1_27	0.67	Veillonella sp. 6_1_27	0.67	Veillonella	1.0	Selenomonadales	1.0	Negativicutes	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8113	1547	63.22	67.49	Acetonema longum	0.67	Acetonema longum	0.67	Acetonema	0.67	Selenomonadales	1.0	Negativicutes	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8114	1546	6.89	36.55	Homo sapiens	1.0	Homo sapiens	1.0	Homo	1.0	Primates	1.0	Mammalia	1.0	Chordata	1.0	Metazoa	1.0
N1_003_000G1_scaffold_8115	1546	7.18	38.49	Hungatella hathewayi	1.0	Hungatella hathewayi	1.0	Hungatella	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8116	1546	9.99	27.88	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8117	1546	7.37	26.97	Peptoclostridium difficile	0.5	Peptoclostridium difficile	0.5	Peptoclostridium	0.5	Clostridiales	0.5	Clostridia	0.5	Firmicutes	0.5	Bacteria	0.5
N1_003_000G1_scaffold_8118	1546	9.41	44.24	Atopobium minutum	1.0	Atopobium minutum	1.0	Atopobium	1.0	Coriobacteriales	1.0	Coriobacteriia	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8119	1546	7.37	33.05	Methanocorpusculum labreanum	0.5	Methanocorpusculum labreanum	0.5	Methanocorpusculum	0.5	Methanomicrobiales	0.5	Methanomicrobia	0.5	Euryarchaeota	0.5	Archaea	0.5
N1_003_000G1_scaffold_8120	1546	8.05	33.18	Hungatella hathewayi	1.0	Hungatella hathewayi	1.0	Hungatella	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8121	1546	300.29	27.75	Staphylococcus caprae	0.5	Staphylococcus caprae	0.5	Staphylococcus	0.5	Bacillales	0.5	Bacilli	0.5	Firmicutes	0.5	Bacteria	0.5
N1_003_000G1_scaffold_8122	1546	131.08	34.86	Clostridium baratii	1.0	Clostridium baratii	1.0	Clostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8123	1545	12.62	36.57														
N1_003_000G1_scaffold_8124	4482	6006.43	41.21	Veillonella	1.0	Veillonella parvula	0.33	Veillonella	1.0	Selenomonadales	1.0	Negativicutes	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8125	1545	380.29	63.24	Klebsiella pneumoniae	1.0	Klebsiella pneumoniae	1.0	Klebsiella	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8126	1545	13.2	30.68														
N1_003_000G1_scaffold_8127	1545	50.1	63.95	Klebsiella pneumoniae	1.0	Klebsiella pneumoniae	1.0	Klebsiella	1.0	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8128	1544	9.13	31.99	Eubacterium rectale	0.5	Eubacterium rectale	0.5	Eubacterium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
